inf,2.000400037801080941e+02,inf,inf,inf,inf,inf,2.000400037801081226e+02,inf,inf,inf,inf,inf,inf,inf,inf
2.000400037801080941e+02,inf,1.944833374467962983e+02,3.889666666666666401e+02,inf,inf,inf,4.000799999999999841e+02,inf,6.000299999999999727e+02,inf,inf,inf,inf,inf,7.000499999999999545e+02
inf,1.944833374467962983e+02,inf,1.944833374467962983e+02,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,3.889666666666666401e+02,1.944833374467962983e+02,inf,2.000400037801080941e+02,4.000799999999999841e+02,inf,inf,inf,inf,inf,6.000299999999999727e+02,inf,7.000499999999999545e+02,inf,inf
inf,inf,inf,2.000400037801080941e+02,inf,2.000400037801081226e+02,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,4.000799999999999841e+02,2.000400037801081226e+02,inf,1.944833374467962983e+02,3.889666666666666401e+02,inf,4.373500546218986642e+02,2.789404390626149848e+02,1.999499999999999886e+02,inf,2.999699999999999704e+02,inf,inf
inf,inf,inf,inf,inf,1.944833374467962983e+02,inf,1.944833374467962983e+02,inf,2.789619455130832648e+02,2.000000000000000000e+02,2.789619455130832648e+02,inf,inf,inf,inf
2.000400037801081226e+02,4.000799999999999841e+02,inf,inf,inf,3.889666666666666401e+02,1.944833374467962983e+02,inf,inf,1.999499999999999886e+02,2.789404390626149848e+02,4.373500546218986642e+02,inf,inf,inf,2.999699999999999704e+02
inf,inf,inf,inf,inf,inf,inf,inf,inf,5.001001512043040975e+01,inf,inf,inf,inf,inf,5.001001512043040975e+01
inf,6.000299999999999727e+02,inf,inf,inf,4.373500546218986642e+02,2.789619455130832648e+02,1.999499999999999886e+02,5.001001512043040975e+01,inf,1.944833335904247633e+02,3.889666666666666401e+02,inf,inf,inf,1.000199999999999818e+02
inf,inf,inf,inf,inf,2.789404390626149848e+02,2.000000000000000000e+02,2.789404390626149848e+02,inf,1.944833335904247633e+02,inf,1.944833335904247633e+02,inf,inf,inf,inf
inf,inf,inf,6.000299999999999727e+02,inf,1.999499999999999886e+02,2.789619455130832648e+02,4.373500546218986642e+02,inf,3.889666666666666401e+02,1.944833335904247633e+02,inf,5.001001512043040975e+01,1.000199999999999818e+02,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.001001512043040975e+01,inf,5.001001512043040975e+01,inf,inf
inf,inf,inf,7.000499999999999545e+02,inf,2.999699999999999704e+02,inf,inf,inf,inf,inf,1.000199999999999818e+02,5.001001512043040975e+01,inf,1.944833335904247633e+02,3.889666666666666401e+02
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.944833335904247633e+02,inf,1.944833335904247633e+02
inf,7.000499999999999545e+02,inf,inf,inf,inf,inf,2.999699999999999704e+02,5.001001512043040975e+01,1.000199999999999818e+02,inf,inf,inf,3.889666666666666401e+02,1.944833335904247633e+02,inf
